Brood, volkoren;246,0;1033,0;37,6;8,4;43,5;1,5;2,6;0,5;0,5;1,2;0,5;6,9
Brood, wit, melk;255,0;1070,0;38,8;9,2;45,0;4,5;3,5;1,8;1,0;0,5;3,5;2,5
Brood, wit, water;236,0;991,0;41,7;8,3;44,5;3,0;2,0;0,5;0,4;0,8;0,0;2,5
Brood, zuurdesem;206,0;864,0;46,4;7,5;35,4;0,0;2,0;0,3;0,3;1,0;0,5;7,7
Broodje, kadetje gem.;282,0;1183,0;33,2;8,5;50,0;0,0;4,5;2,0;1,0;1,0;8,0;2,8
Brownie;484,0;2028,0;9,5;5,2;57,5;45,2;25,8;9,0;5,0;6,5;65,0;1,0
Bruine bonen, gekookt;110,0;462,0;63,7;7,6;18,1;0,0;0,7;0,1;0,1;0,4;0,0;8,9
Buikspek, varken;531,0;2222,0;35,0;9,0;0,0;0,0;55,0;20,0;6,5;25,5;70,0;0,0
Bulgur;375,0;1574,0;6,5;9,5;80,0;2,2;1,0;0,1;0,1;0,4;0,0;2,0
Cacaopoeder;411,0;1720,0;9,9;19,8;10,8;2,2;24,5;13,5;8,9;1,2;0,0;34,0
Cake;444,0;1859,0;18,5;7,5;47,0;25,0;25,0;8,0;0,0;0,0;90,0;1,0
Cake, roomboter;443,0;1857,0;17,8;6,5;50,0;29,8;24,1;10,0;9,8;3,9;170,0;0,6
Camembert 30+;215,0;899,0;61,0;23,5;0,0;0,0;13,5;8,5;2,9;0,2;38,0;0,0
Camembert 45+;282,0;1182,0;54,7;21,0;0,0;0,0;22,3;13,5;4,8;0,4;90,0;0,0
Campari, bitter 25 % v/v;203,0;855,0;63,0;0,0;20,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0
Cantharellen, vers;19,0;81,0;92,4;2,1;1,1;0,0;0,0;0,0;0,0;0,0;0,0;3,4
Caramelpudding;147,0;617,0;67,0;3,5;23,0;21,1;4,5;3,1;0,0;0,0;101,0;0,0
Cashewnoten, gebrand, gezout;614,0;2569,0;1,9;15,6;32,0;5,0;46,5;9,0;27,1;7,9;0,0;3,0
Cashewnoten, gebrand, ongezo;608,0;2544,0;1,2;15,5;32,8;5,0;46,5;9,0;27,0;8,0;0,0;3,0
Cashewnoten, vers, ongezouten;591,0;2473,0;8,0;18,5;22,5;5,6;46,5;9,5;28,0;7,5;0,0;3,5
Cassave;141,0;591,0;62,9;1,0;32,0;0,0;0,2;0,0;0,0;0,0;0,0;2,9
Cassavemeel;350,0;1468,0;11,9;2,8;82,0;3,5;0,3;0,0;0,0;0,0;0,0;2,0
Casselerrib;142,0;598,0;71,2;20,5;1,0;1,0;6,3;2,5;2,1;0,8;38,0;0,0
Cayennepeper;371,0;1555,0;13,5;11,5;30,5;0,0;17,0;4,5;3,5;9,0;0,0;26,5
Cervelaatworst;382,0;1603,0;45,5;18,3;0,5;0,0;34,7;13,8;15,2;2,9;32,0;0,0
Champagne;76,0;318,0;97,0;0,3;1,3;1,3;0,0;0,0;0,0;0,0;0,0;0,0
Champignons, blik/glas;31,0;132,0;89,7;2,3;2,5;2,2;0,5;0,1;0,0;0,0;0,0;4,0
Champignons, gebakken;61,0;256,0;86,4;3,5;0,9;0,6;4,0;1,5;0,0;0,0;8,0;4,2
Champignons, vers;16,0;71,0;93,5;2,7;0,3;0,2;0,0;0,0;0,0;0,0;0,0;2,5
Cheddar kaas 50+;389,0;1631,0;40,9;25,4;0,5;0,5;32,2;22,5;8,5;0,5;100,0;0,0
Cheese puffs;565,0;2367,0;1,5;6,4;55,0;0,0;35,7;0,0;0,0;0,0;5,0;0,4
Cheeseburger;283,0;1189,0;44,8;14,0;26,5;0,0;13,5;0,0;0,0;0,0;40,0;0,2
Cheesecake;308,0;1292,0;45,3;5,4;28,6;0,0;19,2;0,0;0,0;0,0;0,0;0,5
Chiabatta;238,0;997,0;40,0;8,5;45,0;2,5;1,5;0,3;0,2;0,8;0,0;4,0
Chiazaad, gedroogd;472,0;1975,0;2,1;19,8;12,0;0,0;30,7;3,3;2,3;23,5;0,0;34,4
Chilipeper, gedroogd;366,0;1533,0;16,5;12,5;33,0;0,0;16,0;2,5;3,5;8,5;0,0;21,0
Chilipeper, pimento, vers;31,0;132,0;91,2;0,9;5,8;0,0;0,5;0,0;0,0;0,0;0,0;0,6
Chilipoeder;380,0;1595,0;12,5;12,0;32,0;0,0;17,5;4,5;0,0;0,0;0,0;25,0
Chinese kool, bereid;19,0;81,0;92,7;1,0;2,5;0,0;0,0;0,0;0,0;0,0;0,0;2,8
Chinese kool, vers;20,0;84,0;92,9;1,2;1,8;0,0;0,3;0,0;0,0;0,0;0,0;2,8
Chinese okra, vers;45,0;192,0;86,2;2,2;7,2;0,0;0,2;0,1;0,0;0,1;0,0;3,2
Chipolatapudding;228,0;958,0;57,3;5,2;24,0;21,9;12,5;6,5;0,0;0,0;70,0;0,0
Chips, gem. naturel, paprika e.d;554,0;2318,0;1,0;5,5;52,8;2,6;34,5;7,7;18,4;5,4;0,0;5,2
Chips, light gem.;479,0;2007,0;3,7;6,5;61,0;2,5;22,0;4,0;12,3;4,7;2,0;5,8
